system:time_start,LST_Day_1km
"Jan 1, 2014",
"Jan 2, 2014",
"Jan 3, 2014","14,786"
"Jan 4, 2014","14,849"
"Jan 5, 2014","15,180.862"
"Jan 6, 2014","15,337.599"
"Jan 7, 2014","15,503.737"
"Jan 8, 2014","15,121.599"
"Jan 9, 2014",
"Jan 10, 2014","14,984"
"Jan 11, 2014","14,901"
"Jan 12, 2014","15,119.671"
"Jan 13, 2014","14,929"
"Jan 14, 2014","15,245.928"
"Jan 15, 2014","15,269.521"
"Jan 16, 2014","15,053.348"
"Jan 17, 2014",
"Jan 18, 2014","15,250.976"
"Jan 19, 2014","14,761"
"Jan 20, 2014","15,244.827"
"Jan 21, 2014",
"Jan 22, 2014","15,273.066"
"Jan 23, 2014",
"Jan 24, 2014",
"Jan 25, 2014","14,882"
"Jan 26, 2014","14,910.102"
"Jan 27, 2014","15,089.258"
"Jan 28, 2014",
"Jan 29, 2014",
"Jan 30, 2014","15,095.749"
"Jan 31, 2014","15,137.533"
"Feb 1, 2014",
"Feb 2, 2014",
"Feb 3, 2014",
"Feb 4, 2014","14,951"
"Feb 5, 2014",
"Feb 6, 2014","14,678"
"Feb 7, 2014",
"Feb 8, 2014","15,167.216"
"Feb 9, 2014",
"Feb 10, 2014","15,043.964"
"Feb 11, 2014",
"Feb 12, 2014",
"Feb 13, 2014",
"Feb 14, 2014","14,501"
"Feb 15, 2014",
"Feb 16, 2014",
"Feb 17, 2014",
"Feb 18, 2014",
"Feb 19, 2014",
"Feb 20, 2014",
"Feb 21, 2014",
"Feb 22, 2014","14,874.988"
"Feb 23, 2014","14,982.282"
"Feb 24, 2014",
"Feb 25, 2014",
"Feb 26, 2014",
"Feb 27, 2014",
"Feb 28, 2014",
"Mar 1, 2014","14,630.162"
"Mar 2, 2014","14,819.114"
"Mar 3, 2014",
"Mar 4, 2014",
"Mar 5, 2014",
"Mar 6, 2014",
"Mar 7, 2014","14,703.575"
"Mar 8, 2014","14,928.407"
"Mar 9, 2014",
"Mar 10, 2014","14,682.365"
"Mar 11, 2014",
"Mar 12, 2014","15,024.066"
"Mar 13, 2014","14,934.647"
"Mar 14, 2014",
"Mar 15, 2014","14,573"
"Mar 16, 2014",
"Mar 17, 2014",
"Mar 18, 2014","14,602"
"Mar 19, 2014",
"Mar 20, 2014","14,652.09"
"Mar 21, 2014",
"Mar 22, 2014","14,479.647"
"Mar 23, 2014","14,638.407"
"Mar 24, 2014",
"Mar 25, 2014",
"Mar 26, 2014",
"Mar 27, 2014",
"Mar 28, 2014",
"Mar 29, 2014","14,848.862"
"Mar 30, 2014",
"Mar 31, 2014","14,551.796"
"Apr 1, 2014","14,298"
"Apr 2, 2014","14,227"
"Apr 3, 2014",
"Apr 4, 2014",
"Apr 5, 2014",
"Apr 6, 2014",
"Apr 7, 2014",
"Apr 8, 2014",
"Apr 9, 2014","14,435"
"Apr 10, 2014",
"Apr 11, 2014","14,662.772"
"Apr 12, 2014","14,438"
"Apr 13, 2014",
"Apr 14, 2014",
"Apr 15, 2014",
"Apr 16, 2014",
"Apr 17, 2014",
"Apr 18, 2014","14,481.353"
"Apr 19, 2014","14,464.102"
"Apr 20, 2014","14,465.671"
"Apr 21, 2014","14,451.126"
"Apr 22, 2014","14,421.569"
"Apr 23, 2014","14,415.317"
"Apr 24, 2014",
"Apr 25, 2014",
"Apr 26, 2014","14,376.862"
"Apr 27, 2014",
"Apr 28, 2014",
"Apr 29, 2014",
"Apr 30, 2014",
"May 1, 2014",
"May 2, 2014",
"May 3, 2014",
"May 4, 2014",
"May 5, 2014",
"May 6, 2014",
"May 7, 2014",
"May 8, 2014",
"May 9, 2014",
"May 10, 2014",
"May 11, 2014",
"May 12, 2014",
"May 13, 2014","14,359.647"
"May 14, 2014","14,484.796"
"May 15, 2014",
"May 16, 2014","14,235.85"
"May 17, 2014","14,207.407"
"May 18, 2014",
"May 19, 2014","14,243.192"
"May 20, 2014","14,208"
"May 21, 2014",
"May 22, 2014",
"May 23, 2014","14,148.239"
"May 24, 2014","14,216.329"
"May 25, 2014","14,125.545"
"May 26, 2014","14,269.647"
"May 27, 2014",
"May 28, 2014",
"May 29, 2014",
"May 30, 2014",
"May 31, 2014",
"Jun 1, 2014",
"Jun 2, 2014","14,196.282"
"Jun 3, 2014",
"Jun 4, 2014",
"Jun 5, 2014","14,272.545"
"Jun 6, 2014","14,099.647"
"Jun 7, 2014",
"Jun 8, 2014","13,986.749"
"Jun 9, 2014","14,147.761"
"Jun 10, 2014",
"Jun 11, 2014",
"Jun 12, 2014",
"Jun 13, 2014","14,167.874"
"Jun 14, 2014","14,152.228"
"Jun 15, 2014",
"Jun 16, 2014","14,184.216"
"Jun 17, 2014","13,962"
"Jun 18, 2014","13,955"
"Jun 19, 2014","13,922"
"Jun 20, 2014","14,081.988"
"Jun 21, 2014","13,982"
"Jun 22, 2014",
"Jun 23, 2014",
"Jun 24, 2014",
"Jun 25, 2014","14,211.545"
"Jun 26, 2014","13,948"
"Jun 27, 2014","14,065.329"
"Jun 28, 2014","14,186.988"
"Jun 29, 2014","14,000.078"
"Jun 30, 2014","14,193.659"
"Jul 1, 2014","13,934.329"
"Jul 2, 2014",
"Jul 3, 2014","14,092.569"
"Jul 4, 2014",
"Jul 5, 2014",
"Jul 6, 2014",
"Jul 7, 2014","14,023.683"
"Jul 8, 2014","14,029.886"
"Jul 9, 2014",
"Jul 10, 2014",
"Jul 11, 2014",
"Jul 12, 2014",
"Jul 13, 2014",
"Jul 14, 2014",
"Jul 15, 2014",
"Jul 16, 2014",
"Jul 17, 2014","14,024.718"
"Jul 18, 2014","14,067.521"
"Jul 19, 2014","14,074.228"
"Jul 20, 2014","14,264.898"
"Jul 21, 2014","14,209.401"
"Jul 22, 2014",
"Jul 23, 2014","14,115"
"Jul 24, 2014","14,068.749"
"Jul 25, 2014","14,075.671"
"Jul 26, 2014","13,933.228"
"Jul 27, 2014","14,009.874"
"Jul 28, 2014",
"Jul 29, 2014",
"Jul 30, 2014",
"Jul 31, 2014",
"Aug 1, 2014","14,294.389"
"Aug 2, 2014",
"Aug 3, 2014","14,270.437"
"Aug 4, 2014","14,147.671"
"Aug 5, 2014",
"Aug 6, 2014",
"Aug 7, 2014","14,228.419"
"Aug 8, 2014","14,351.239"
"Aug 9, 2014","14,208.353"
"Aug 10, 2014",
"Aug 11, 2014","14,108.012"
"Aug 12, 2014","14,163.874"
"Aug 13, 2014","14,025.431"
"Aug 14, 2014","14,172"
"Aug 15, 2014","14,334.874"
"Aug 16, 2014","14,251.557"
"Aug 17, 2014","14,532.455"
"Aug 18, 2014","14,553.545"
"Aug 19, 2014","14,391.988"
"Aug 20, 2014",
"Aug 21, 2014",
"Aug 22, 2014",
"Aug 23, 2014",
"Aug 24, 2014",
"Aug 25, 2014",
"Aug 26, 2014",
"Aug 27, 2014",
"Aug 28, 2014","14,170.204"
"Aug 29, 2014",
"Aug 30, 2014",
"Aug 31, 2014",
"Sep 1, 2014",
"Sep 2, 2014",
"Sep 3, 2014",
"Sep 4, 2014",
"Sep 5, 2014",
"Sep 6, 2014",
"Sep 7, 2014","14,369.419"
"Sep 8, 2014",
"Sep 9, 2014",
"Sep 10, 2014","14,324.09"
"Sep 11, 2014","14,345.647"
"Sep 12, 2014","14,347.976"
"Sep 13, 2014",
"Sep 14, 2014",
"Sep 15, 2014","14,388.874"
"Sep 16, 2014","14,443.671"
"Sep 17, 2014","14,470.533"
"Sep 18, 2014","14,393"
"Sep 19, 2014",
"Sep 20, 2014","14,321"
"Sep 21, 2014","14,330.647"
"Sep 22, 2014","14,414.749"
"Sep 23, 2014",
"Sep 24, 2014","14,388.761"
"Sep 25, 2014",
"Sep 26, 2014","14,341.204"
"Sep 27, 2014","14,268.982"
"Sep 28, 2014",
"Sep 29, 2014","14,494.431"
"Sep 30, 2014",
"Oct 1, 2014","14,411.078"
"Oct 2, 2014",
"Oct 3, 2014",
"Oct 4, 2014",
"Oct 5, 2014",
"Oct 6, 2014","14,438.85"
"Oct 7, 2014",
"Oct 8, 2014",
"Oct 9, 2014",
"Oct 10, 2014","14,353.976"
"Oct 11, 2014","14,522.952"
"Oct 12, 2014","14,532.886"
"Oct 13, 2014","14,251.815"
"Oct 14, 2014","14,649.204"
"Oct 15, 2014",
"Oct 16, 2014","14,707.216"
"Oct 17, 2014","14,731.545"
"Oct 18, 2014",
"Oct 19, 2014","14,605.407"
"Oct 20, 2014","14,660.102"
"Oct 21, 2014","14,397.341"
"Oct 22, 2014","14,862.329"
"Oct 23, 2014","14,649.455"
"Oct 24, 2014",
"Oct 25, 2014","14,819.862"
"Oct 26, 2014",
"Oct 27, 2014",
"Oct 28, 2014",
"Oct 29, 2014",
"Oct 30, 2014","14,497.467"
"Oct 31, 2014",
"Nov 1, 2014",
"Nov 2, 2014",
"Nov 3, 2014",
"Nov 4, 2014","14,311.168"
"Nov 5, 2014","14,719.784"
"Nov 6, 2014","14,763.317"
"Nov 7, 2014",
"Nov 8, 2014","14,649.228"
"Nov 9, 2014","14,788.407"
"Nov 10, 2014",
"Nov 11, 2014","14,913.683"
"Nov 12, 2014","14,623.761"
"Nov 13, 2014","14,748.713"
"Nov 14, 2014","14,687.114"
"Nov 15, 2014","15,071.18"
"Nov 16, 2014","14,868.772"
"Nov 17, 2014","14,831.036"
"Nov 18, 2014","15,014.305"
"Nov 19, 2014",
"Nov 20, 2014",
"Nov 21, 2014",
"Nov 22, 2014","14,754.138"
"Nov 23, 2014","14,996.761"
"Nov 24, 2014",
"Nov 25, 2014","14,933.815"
"Nov 26, 2014","14,833.329"
"Nov 27, 2014","15,039.27"
"Nov 28, 2014","15,084.305"
"Nov 29, 2014",
"Nov 30, 2014",
"Dec 1, 2014",
"Dec 2, 2014",
"Dec 3, 2014","15,000.042"
"Dec 4, 2014","15,014.916"
"Dec 5, 2014","15,191.533"
"Dec 6, 2014","15,196.03"
"Dec 7, 2014",
"Dec 8, 2014","14,868.216"
"Dec 9, 2014","15,210.725"
"Dec 10, 2014","14,670"
"Dec 11, 2014","14,943.827"
"Dec 12, 2014","15,033.737"
"Dec 13, 2014","14,947.904"
"Dec 14, 2014","15,004.455"
"Dec 15, 2014",
"Dec 16, 2014",
"Dec 17, 2014","14,894.599"
"Dec 18, 2014","15,078.749"
"Dec 19, 2014","15,043.341"
"Dec 20, 2014",
"Dec 21, 2014","14,763.329"
"Dec 22, 2014",
"Dec 23, 2014","14,909.216"
"Dec 24, 2014","14,970.066"
"Dec 25, 2014","15,128.749"
"Dec 26, 2014",
"Dec 27, 2014","15,279.916"
"Dec 28, 2014","15,257.988"
"Dec 29, 2014","15,279.94"
"Dec 30, 2014","15,007.635"
"Dec 31, 2014",
"Jan 1, 2015",
"Jan 2, 2015",
"Jan 3, 2015",
"Jan 4, 2015","14,819"
"Jan 5, 2015","15,032.563"
"Jan 6, 2015","14,947"
"Jan 7, 2015","15,077.904"
"Jan 8, 2015","14,935.533"
"Jan 9, 2015",
"Jan 10, 2015","15,070.772"
"Jan 11, 2015","15,014.455"
"Jan 12, 2015","15,062.599"
"Jan 13, 2015",
"Jan 14, 2015","15,058.803"
"Jan 15, 2015","14,913.138"
"Jan 16, 2015","15,105.611"
"Jan 17, 2015",
"Jan 18, 2015","14,714"
"Jan 19, 2015",
"Jan 20, 2015","14,659"
"Jan 21, 2015","14,990.473"
"Jan 22, 2015","14,845.779"
"Jan 23, 2015",
"Jan 24, 2015","15,110.521"
"Jan 25, 2015",
"Jan 26, 2015",
"Jan 27, 2015",
"Jan 28, 2015",
"Jan 29, 2015","14,751.305"
"Jan 30, 2015","14,923.018"
"Jan 31, 2015",
"Feb 1, 2015",
"Feb 2, 2015","15,141.647"
"Feb 3, 2015","14,750.767"
"Feb 4, 2015",
"Feb 5, 2015",
"Feb 6, 2015","15,096.509"
"Feb 7, 2015",
"Feb 8, 2015",
"Feb 9, 2015","15,121.305"
"Feb 10, 2015","14,517"
"Feb 11, 2015","15,081.647"
"Feb 12, 2015","15,023.419"
"Feb 13, 2015","14,835.066"
"Feb 14, 2015","14,838.317"
"Feb 15, 2015","14,915.808"
"Feb 16, 2015",
"Feb 17, 2015",
"Feb 18, 2015",
"Feb 19, 2015",
"Feb 20, 2015","14,851.156"
"Feb 21, 2015",
"Feb 22, 2015",
"Feb 23, 2015","15,218.329"
"Feb 24, 2015","15,234.838"
"Feb 25, 2015",
"Feb 26, 2015",
"Feb 27, 2015","14,630"
"Feb 28, 2015","14,763"
"Mar 1, 2015",
"Mar 2, 2015","14,822"
"Mar 3, 2015",
"Mar 4, 2015",
"Mar 5, 2015","14,942.09"
"Mar 6, 2015","15,017.341"
"Mar 7, 2015","15,025.204"
"Mar 8, 2015","15,136.078"
"Mar 9, 2015",
"Mar 10, 2015",
"Mar 11, 2015","15,040.204"
"Mar 12, 2015","15,107.09"
"Mar 13, 2015","15,213.114"
"Mar 14, 2015",
"Mar 15, 2015","14,853"
"Mar 16, 2015",
"Mar 17, 2015","15,095.533"
"Mar 18, 2015","15,040.545"
"Mar 19, 2015","15,058.964"
"Mar 20, 2015","14,971.91"
"Mar 21, 2015",
"Mar 22, 2015",
"Mar 23, 2015",
"Mar 24, 2015",
"Mar 25, 2015",
"Mar 26, 2015",
"Mar 27, 2015","14,661.114"
"Mar 28, 2015","14,769.066"
"Mar 29, 2015","14,941"
"Mar 30, 2015",
"Mar 31, 2015","14,762.419"
"Apr 1, 2015",
"Apr 2, 2015","14,826.85"
"Apr 3, 2015","14,880.671"
"Apr 4, 2015","14,408"
"Apr 5, 2015",
"Apr 6, 2015",
"Apr 7, 2015","14,732.988"
"Apr 8, 2015",
"Apr 9, 2015","14,211"
"Apr 10, 2015",
"Apr 11, 2015","14,703.066"
"Apr 12, 2015","14,775.647"
"Apr 13, 2015","14,686.659"
"Apr 14, 2015",
"Apr 15, 2015","14,599.85"
"Apr 16, 2015",
"Apr 17, 2015",
"Apr 18, 2015","14,619.192"
"Apr 19, 2015","14,694.85"
"Apr 20, 2015","14,652.85"
"Apr 21, 2015","14,698.623"
"Apr 22, 2015",
"Apr 23, 2015","14,702.85"
"Apr 24, 2015","14,370.102"
"Apr 25, 2015","14,721.102"
"Apr 26, 2015",
"Apr 27, 2015",
"Apr 28, 2015","14,558.772"
"Apr 29, 2015",
"Apr 30, 2015",
"May 1, 2015","14,509.988"
"May 2, 2015",
"May 3, 2015","14,143"
"May 4, 2015","14,480.102"
"May 5, 2015","14,319.329"
"May 6, 2015","14,210.282"
"May 7, 2015",
"May 8, 2015","14,347.407"
"May 9, 2015",
"May 10, 2015","14,436.647"
"May 11, 2015","14,491.102"
"May 12, 2015",
"May 13, 2015",
"May 14, 2015","14,574.239"
"May 15, 2015","14,533.647"
"May 16, 2015","14,692.317"
"May 17, 2015","14,412"
"May 18, 2015",
"May 19, 2015",
"May 20, 2015",
"May 21, 2015",
"May 22, 2015",
"May 23, 2015",
"May 24, 2015","14,225.305"
"May 25, 2015","14,272.862"
"May 26, 2015",
"May 27, 2015","14,421.796"
"May 28, 2015","14,213.545"
"May 29, 2015",
"May 30, 2015","14,330.012"
"May 31, 2015","14,336.886"
"Jun 1, 2015","14,421.761"
"Jun 2, 2015","14,362.102"
"Jun 3, 2015",
"Jun 4, 2015",
"Jun 5, 2015",
"Jun 6, 2015","13,994"
"Jun 7, 2015",
"Jun 8, 2015","14,285"
"Jun 9, 2015",
"Jun 10, 2015",
"Jun 11, 2015","14,090.772"
"Jun 12, 2015","14,101.521"
"Jun 13, 2015","13,934.784"
"Jun 14, 2015","14,076.623"
"Jun 15, 2015","14,087.659"
"Jun 16, 2015","14,122.078"
"Jun 17, 2015","14,147"
"Jun 18, 2015","13,975.545"
"Jun 19, 2015",
"Jun 20, 2015",
"Jun 21, 2015","14,161.635"
"Jun 22, 2015",
"Jun 23, 2015","14,005.509"
"Jun 24, 2015",
"Jun 25, 2015",
"Jun 26, 2015","14,209"
"Jun 27, 2015","14,329.329"
"Jun 28, 2015",
"Jun 29, 2015",
"Jun 30, 2015","14,232.18"
"Jul 1, 2015",
"Jul 2, 2015",
"Jul 3, 2015",
"Jul 4, 2015","14,003.862"
"Jul 5, 2015","14,094.761"
"Jul 6, 2015",
"Jul 7, 2015","13,717"
"Jul 8, 2015",
"Jul 9, 2015",
"Jul 10, 2015",
"Jul 11, 2015","14,133.419"
"Jul 12, 2015",
"Jul 13, 2015","14,086.659"
"Jul 14, 2015","14,074.772"
"Jul 15, 2015","13,854"
"Jul 16, 2015",
"Jul 17, 2015","14,213.862"
"Jul 18, 2015","14,223.623"
"Jul 19, 2015","14,202"
"Jul 20, 2015","14,100.431"
"Jul 21, 2015","14,084.886"
"Jul 22, 2015","14,063"
"Jul 23, 2015","14,220.431"
"Jul 24, 2015",
"Jul 25, 2015",
"Jul 26, 2015",
"Jul 27, 2015",
"Jul 28, 2015",
"Jul 29, 2015",
"Jul 30, 2015","14,354.192"
"Jul 31, 2015",
"Aug 1, 2015",
"Aug 2, 2015",
"Aug 3, 2015",
"Aug 4, 2015","13,996.263"
"Aug 5, 2015","14,129.796"
"Aug 6, 2015",
"Aug 7, 2015",
"Aug 8, 2015",
"Aug 9, 2015",
"Aug 10, 2015",
"Aug 11, 2015",
"Aug 12, 2015","13,794"
"Aug 13, 2015",
"Aug 14, 2015",
"Aug 15, 2015","14,225.431"
"Aug 16, 2015","14,208.216"
"Aug 17, 2015",
"Aug 18, 2015","14,377.545"
"Aug 19, 2015","14,247.635"
"Aug 20, 2015","14,077.251"
"Aug 21, 2015","14,276.533"
"Aug 22, 2015",
"Aug 23, 2015",
"Aug 24, 2015","14,155.647"
"Aug 25, 2015",
"Aug 26, 2015",
"Aug 27, 2015",
"Aug 28, 2015",
"Aug 29, 2015","14,447.557"
"Aug 30, 2015","14,452.671"
"Aug 31, 2015","14,398.192"
"Sep 1, 2015",
"Sep 2, 2015",
"Sep 3, 2015","14,342.898"
"Sep 4, 2015",
"Sep 5, 2015","14,426.545"
"Sep 6, 2015","14,433.898"
"Sep 7, 2015",
"Sep 8, 2015","14,486.09"
"Sep 9, 2015",
"Sep 10, 2015","14,188.443"
"Sep 11, 2015","14,125.431"
"Sep 12, 2015","14,382.706"
"Sep 13, 2015","14,364.09"
"Sep 14, 2015","14,436.012"
"Sep 15, 2015","14,503.647"
"Sep 16, 2015","14,279.706"
"Sep 17, 2015","14,365.329"
"Sep 18, 2015","14,412.317"
"Sep 19, 2015","14,570.772"
"Sep 20, 2015",
"Sep 21, 2015",
"Sep 22, 2015",
"Sep 23, 2015",
"Sep 24, 2015","14,241.407"
"Sep 25, 2015","14,547.521"
"Sep 26, 2015",
"Sep 27, 2015","14,630.976"
"Sep 28, 2015",
"Sep 29, 2015",
"Sep 30, 2015","14,492.85"
"Oct 1, 2015",
"Oct 2, 2015",
"Oct 3, 2015",
"Oct 4, 2015","14,389.85"
"Oct 5, 2015",
"Oct 6, 2015",
"Oct 7, 2015",
"Oct 8, 2015","14,141.509"
"Oct 9, 2015","14,474.329"
"Oct 10, 2015","14,391.102"
"Oct 11, 2015",
"Oct 12, 2015","14,329.138"
"Oct 13, 2015",
"Oct 14, 2015",
"Oct 15, 2015",
"Oct 16, 2015",
"Oct 17, 2015","14,314"
"Oct 18, 2015","14,639.078"
"Oct 19, 2015",
