fecha,u[m/s]         ,Ts[degC]       ,a[g/m3]        ,p_ref[hPa]     ,Var[u]         ,Var[Ts]        ,Var[a]         ,dir[deg]       ,ustar[m/s]     ,HTs[W/m2]      ,LvE[W/m2]      ,z/L            ,z/L-virt       ,Flag(ustar)    ,Flag(HTs)      ,Flag(LvE)      , r_err_ustar[%],   r_err_HTs[%],   r_err_LvE[%],T_min,T_max
2018-04-04,3.722964438888889,21.777671333333338,17.154975397222216,1007.7590383888892,1.1182357027777778,0.09966166944444445,0.04210102777777778,97.73983722777776,0.407570636111111,-6.028112625,39.218781172222165,0.023210525000000003,0.021657936111111102,1.0,2.0555555555555554,1.75,4.369573097222222,9.032302475000002,29.639428755555553,18.0543823,25.958181400000026
2018-04-05,3.606849738541665,18.030715418749992,14.328032648958327,1011.5537447187502,1.2013410447916661,0.1521597135416666,0.7528550885416668,157.65432964270826,0.40042121458333324,18.53333772499997,56.933243388541655,0.0004087052083333494,-0.0009425281249999699,1.0416666666666667,2.21875,1.75,4.7358075249999985,11.229277349999998,19.176681867708332,14.231563600000003,26.084587099999993
2018-04-06,4.521488797916667,14.836032876041658,8.34812928125,1017.9699606041667,1.6888888666666666,0.027848021874999993,0.7777671041666662,234.68835957395837,0.5121266927083336,-21.103666449999995,37.1153968625,0.005125728124999999,0.004604705208333331,1.0,3.0104166666666665,2.3229166666666665,3.693229218749998,9.173318597916667,48.1937525614583,13.6795292,16.02110480000003
2018-04-07,2.256151776041666,16.278514604166666,13.675174706593399,1014.8160343645832,0.4941772291666664,0.17377515833333324,1.0481396538461538,203.434725921875,0.24635917604166666,29.425475812631564,42.20688523666665,0.08575908125000002,0.08014117291666659,1.5208333333333333,2.5625,2.6770833333333335,6.672141995833333,15.609351503157887,23.90017512666666,11.64688779999998,19.396734200000033
2018-04-08,1.791216530208333,16.35926359166666,18.508343849999985,1016.9088128333337,0.33113641562499985,0.10936892291666665,1.7535960535714292,76.2778190802083,0.18200321145833334,26.715201801111103,52.510351653571426,0.47218785937500024,0.3810218333333332,1.4895833333333333,3.3541666666666665,5.25,6.486547673958332,18.135452204444437,28.983689608928568,9.300929099999989,22.535881
2018-04-09,2.3788323520833337,18.570455049999996,12.191975261538456,1013.7705275416669,0.649453498958333,0.10641448854166663,1.6623252844444443,118.94848717187487,0.26733511979166663,17.643937679787225,27.02557237999999,0.0436752562500001,0.01991245312500005,2.1875,3.1875,3.5104166666666665,9.324142565624992,31.413788918085086,44.02558613888888,12.588192899999987,23.917738000000046
2018-04-10,1.901609882291667,21.80478190520834,22.98234040000001,1005.9300721875002,0.5253235374999997,0.04496261874999998,1.2119113295454544,162.23964039583328,0.21513105104166663,-10.727991178260869,6.341365365116276,0.15646142291666662,0.12242234062499992,1.6770833333333333,4.125,6.59375,7.006519735416666,22.313714192391302,62.848660360465075,19.964683500000035,24.137815500000016
2018-04-11,2.013778660416666,18.98138458854167,20.38889280576923,1005.062439635417,0.5327450947916662,0.040894147916666665,1.975456092307692,189.24737990937504,0.2166537510416667,-9.640239095698918,23.70989765294118,0.22197152083333327,0.20638322604166662,2.0625,3.5208333333333335,5.5,6.688464835416663,21.33166963010752,80.6651589098039,14.700015099999908,22.614404700000005
2018-04-12,3.6303671,14.868750574999975,21.278548949999998,1009.94552625,1.2826299999999997,0.30069429999999975,25.491579724999998,333.61767577499995,0.439476675,-16.267631550000004,-190.33786777499975,0.020277375,0.021374125,1.0,4.0,2.75,3.613207575,22.271885875,35.657017700000004,14.6253261999999,14.9872999
2018-04-13,,,,,,,,,,,,,,,,,,,,,
2018-04-14,,,,,,,,,,,,,,,,,,,,,
2018-04-15,,,,,,,,,,,,,,,,,,,,,
2018-04-16,,,,,,,,,,,,,,,,,,,,,
2018-04-17,,,,,,,,,,,,,,,,,,,,,
2018-04-18,,,,,,,,,,,,,,,,,,,,,
2018-04-19,,,,,,,,,,,,,,,,,,,,,
2018-04-20,,,,,,,,,,,,,,,,,,,,,
2018-04-21,,,,,,,,,,,,,,,,,,,,,
2018-04-22,,,,,,,,,,,,,,,,,,,,,
2018-04-23,,,,,,,,,,,,,,,,,,,,,
2018-04-24,,,,,,,,,,,,,,,,,,,,,
2018-04-25,,,,,,,,,,,,,,,,,,,,,
2018-04-26,,,,,,,,,,,,,,,,,,,,,
2018-04-27,,,,,,,,,,,,,,,,,,,,,
2018-04-28,,,,,,,,,,,,,,,,,,,,,
2018-04-29,,,,,,,,,,,,,,,,,,,,,
2018-04-30,,,,,,,,,,,,,,,,,,,,,
2018-05-01,,,,,,,,,,,,,,,,,,,,,
2018-05-02,,,,,,,,,,,,,,,,,,,,,
2018-05-03,,,,,,,,,,,,,,,,,,,,,
2018-05-04,,,,,,,,,,,,,,,,,,,,,
2018-05-05,,,,,,,,,,,,,,,,,,,,,
2018-05-06,,,,,,,,,,,,,,,,,,,,,
2018-05-07,,,,,,,,,,,,,,,,,,,,,
2018-05-08,,,,,,,,,,,,,,,,,,,,,
2018-05-09,,,,,,,,,,,,,,,,,,,,,
2018-05-10,,,,,,,,,,,,,,,,,,,,,
2018-05-11,,,,,,,,,,,,,,,,,,,,,
2018-05-12,,,,,,,,,,,,,,,,,,,,,
2018-05-13,,,,,,,,,,,,,,,,,,,,,
2018-05-14,,,,,,,,,,,,,,,,,,,,,
2018-05-15,,,,,,,,,,,,,,,,,,,,,
2018-05-16,,,,,,,,,,,,,,,,,,,,,
2018-05-17,2.0937337090909085,9.453942148484845,11.479632493103448,1015.0596683939394,0.3575773848484848,0.005737903030303032,0.3078513,95.87252437878787,0.22880312121212115,-9.36538024848485,4.1669689148148175,0.025875457575757568,0.024776581818181813,1.0606060606060606,2.6666666666666665,4.181818181818182,5.40087443939394,10.190527387878786,42.13916042962961,9.165068600000003,10.229494999999991
2018-05-18,2.4638574968749993,11.491377557291658,12.384181810416669,1013.8302046770832,0.6349448572916663,0.9924056177083324,0.14731387291666667,87.90840780833332,0.28776890104166675,61.811972231249996,39.258064596808474,0.0630474781249999,0.05480679479166664,1.3333333333333333,2.0,2.6666666666666665,6.357303502083332,14.470932584374998,40.612701252127636,7.688270600000002,16.77788729999998
2018-05-19,4.62890790625,12.05041425416666,11.012334681720422,1018.4573517291665,1.973997067708334,0.06312098645833332,1.6159843602150537,248.6762879041668,0.519742840625,-32.430403679166666,49.97037925652175,0.018145086458333324,0.01717707395833333,1.0416666666666667,2.8958333333333335,2.5,4.272828810416668,16.537890708333332,35.64663315108695,7.716819800000014,13.583287200000003
2018-05-20,1.608368057291666,11.608509616666666,11.68101100833333,1016.8731874166664,0.2746316833333334,0.11181112604166661,0.033712181250000015,188.15286368124987,0.16553971041666657,1.3082912124999952,23.524151086458332,0.17536283645833337,0.15587259999999978,1.40625,1.9895833333333333,2.4166666666666665,6.240487210416664,18.662466292708334,26.608224848958333,7.078180299999989,14.554743800000018
2018-05-21,3.0059346854166655,10.933699786458332,10.307967916666664,1014.1806406250001,0.7902114270833334,0.06708898229166664,1.6660489770833322,155.35336574895828,0.3244664999999998,3.2241441812500007,47.08002695578946,0.031675076041666646,0.02998440104166666,1.0,2.2604166666666665,2.8958333333333335,4.668944189583333,20.051260998958337,47.19179393578948,6.777862500000004,15.678496400000013
2018-05-22,2.5032385854166663,8.115718067708329,8.5899978875,1017.4621938437499,0.6330395447916662,0.08908899895833326,0.05291496354166664,48.38468222708332,0.2736338510416665,6.598678444791666,54.7728242347368,0.24438907395833329,0.22144296145833334,1.25,1.9895833333333333,2.8958333333333335,5.032614461458333,11.099625777083327,48.530022069473674,3.7249462999999996,15.042846699999991
2018-05-23,1.696719521874999,7.801307046874995,8.968629732291662,1020.1780866145837,0.2906285708333332,0.1604682958333333,0.040897704166666646,61.352564228125,0.17818839166666658,20.34556946210526,35.699969930851026,0.9828981458333331,0.7561385760416653,1.7604166666666667,2.5104166666666665,3.40625,12.460237084375002,23.928469186315784,59.625761704255325,1.71363089999999,16.115247699999887
2018-05-24,1.357706570833333,7.784762095833332,8.776518180208328,1021.8962841354164,0.15510956979166662,0.17994632499999993,0.05876927916666664,76.6328106927083,0.1108321145833333,18.416910390624988,26.454051452083316,0.37808150104166605,0.30881020624999983,1.8020833333333333,2.6145833333333335,3.1666666666666665,7.817600935416668,16.93388694791666,42.434966146875006,0.40099779999999957,16.682039300000024
2018-05-25,2.6722945447916664,10.064899304166662,10.394356434374993,1019.4821561874996,0.6453029999999996,0.10758516041666664,0.027654309375,88.15647395312497,0.26977584895833323,10.437708302083324,28.552928350526283,0.13624905416666663,0.13162887916666663,1.0416666666666667,1.9479166666666667,2.3125,4.879095078124998,12.474539610416665,31.48670369789473,4.917609200000004,17.623514200000027
2018-05-26,2.8720894916666673,10.967554718749989,11.013794405681809,1015.4985199166662,0.6931617020833327,0.083900665625,0.0792959681818182,102.28232256458337,0.30431196562499996,-0.16268796979166164,24.387842969318193,0.06387255833333332,0.06303115624999998,1.0208333333333333,2.125,2.9895833333333335,4.566884758333334,12.43059792812499,33.28145254431818,5.762128800000014,17.43531230000002
2018-05-27,1.3029348041666657,11.122001012500006,12.02883124666666,1015.7811470208335,0.17551632916666668,0.18997081145833325,10.24042080933333,112.24798529374999,0.1241723156249999,19.601315651685375,15.59082923108104,0.10858420520833324,0.08021231458333324,1.90625,3.3333333333333335,4.489583333333333,8.795727095833334,19.410212432584267,55.242710967567554,4.678480599999996,19.092998500000018
2018-05-28,1.9704591489583336,14.882392652083327,14.823459518604649,1010.2255084062499,2.067180466666664,3.523129041666666,20.60489104523807,151.4335924479166,0.42904596458333316,648.6368997164835,46.66546171428589,0.028496563541666662,0.02305685937499997,1.46875,4.260416666666667,7.114583333333333,5.185516519791666,15.141588134065932,76.32039560952379,10.486792599999973,20.963279699999976
2018-05-29,1.4413621864583328,15.127437478124994,17.22194013606557,1009.4254424270833,0.38886852708333325,0.07732145,1.2107189440677966,208.21236616874987,0.16192682500000002,0.09885395000000086,22.273180461666666,0.12806362604166652,0.12186880208333327,2.6979166666666665,4.0,5.104166666666667,11.511875932291654,24.058696211111105,28.53174805172414,10.226778999999988,18.896480599999965
2018-05-30,3.3385667572916664,12.896310269791657,12.941403259302321,1015.6447640312491,1.063813855208333,0.0843691656249999,0.8303813023529409,280.1217778791667,0.3662490114583332,-7.908126409375,70.57065438720932,0.03265254062499998,0.02815434270833332,1.0416666666666667,2.5833333333333335,2.3229166666666665,5.050806309374997,10.011742335416663,51.59680570705872,10.929664600000017,16.289100599999987
2018-05-31,5.022892830526314,10.835971678947365,11.859079197894731,1021.5854390315791,2.069131678947369,0.028730255789473684,0.2467573052631578,271.3971747157895,0.5801194526315786,-27.466581662105263,58.49621383578949,0.00574133263157895,0.005118037894736842,1.0,3.094736842105263,1.2842105263157895,4.242277381052632,14.23505000105263,14.674517398947364,9.086092900000013,12.551827400000002
2018-06-01,4.967181456249998,9.296968173958328,9.80849429166667,1022.2519728541665,2.007359779166666,0.03556722291666665,0.035629235416666655,285.83082802812487,0.5394849135416665,-20.03407285937501,48.81592145833333,0.005357035416666665,0.0047334718749999964,1.0208333333333333,2.8541666666666665,1.2291666666666667,4.359300477083331,10.159153380208329,13.716541278124998,7.5708002999999815,10.759241100000025
2018-06-02,3.4862795468750005,8.61296357708333,9.334924231249998,1025.8301595208336,1.054484177083333,0.04741325520833334,1.0299079979166668,323.2662324916666,0.36104343645833326,-2.831957285416657,38.984135650000006,0.00962486770833333,0.008275593749999999,1.0416666666666667,2.7916666666666665,1.8645833333333333,4.593604291666666,14.16586470312499,31.070914379166652,6.986035300000015,11.003622100000008
2018-06-03,1.6553410802083333,8.792584210416669,10.329629293750001,1032.1760635833327,0.3131628979166667,0.019951233333333335,0.03683824791666666,277.1783710281249,0.16919715833333338,-2.0363389072916642,18.732269029166666,0.15183517499999982,0.1245129333333333,1.6875,1.6666666666666667,1.3541666666666667,8.399990365624998,14.579250849999994,20.122221202083324,7.816058600000011,10.06173320000002
2018-06-04,0.9182900166666665,8.05497390208333,10.339892826881712,1029.361414645833,0.11203756145833327,0.031840128125,0.2046337322580645,152.82132478124996,0.08774936979166664,4.10154596736842,16.693719043478268,0.904805087499999,0.7734565520833335,2.3958333333333335,2.4166666666666665,2.4166666666666665,11.965996313541664,26.248489772631572,27.843452564130427,5.961242700000004,10.638353299999977
2018-06-05,1.752290656790124,6.322639406172838,8.10736616986301,1018.8901119375,0.26992508395061726,0.08645064567901231,0.31233718888888873,81.13458089012343,0.17242156666666664,11.563834775,31.5823945597222,0.16879530864197503,0.16059724444444445,2.4270833333333335,3.3541666666666665,4.447916666666667,6.165642002469133,12.7094400375,49.58260417083334,2.8987664999999976,10.083146100000015
2018-06-06,2.6025670593749997,7.2688118062500005,12.93333869277108,1009.9857699374993,0.6053198906249999,0.06882792604166665,3.45929706626506,64.45773847708332,0.27349623229166664,8.15058924842105,25.314948008536575,0.06993328124999999,0.06749480208333329,1.0,2.2291666666666665,3.5833333333333335,5.034059351041667,11.721529728421046,53.415986274390235,1.5712867000000015,13.430844299999992
2018-06-07,4.543631567708332,8.030691185416666,8.601910582499993,1009.9481780312499,1.6830492822916658,0.04971398020833334,18.97333779102563,204.9964530677083,0.5017650687499998,-22.479059431249993,147.5537006307692,0.00953770520833333,0.007916069791666662,1.0208333333333333,3.5625,3.46875,4.062863560416667,12.295572783333332,27.628811141025647,3.777529,10.076956699999988
2018-06-08,3.6576456374999986,7.055737484374997,6.926997060215052,1010.3618730937505,1.16870090625,0.06086075833333332,0.04758168709677414,52.435247740625016,0.3824455937499999,-2.995951742708332,33.75195117311828,0.02328790729166666,0.02218050416666666,1.0,2.0208333333333335,2.0729166666666665,4.165390136458332,11.191451786458332,19.148834576344083,1.4985604000000015,13.347938500000032
2018-06-09,1.5333753937499988,6.97616530625,5.176327971604934,1011.3927263124998,0.22034597499999994,0.09969382207792209,0.061384552631578916,87.20203091184203,0.1695012499999999,8.01142972266667,22.70481420405403,8.844963726250002,8.839095668750002,2.9375,3.6354166666666665,4.364583333333333,6.130973940789471,18.254360109333327,39.48644454729729,2.7706161000000047,13.31826020000001
2018-06-10,1.3592187446808501,11.82005934255319,6.335683747674415,1007.0772648229166,0.17053789361702126,0.033367657446808495,2.3024038529411768,197.5301515574468,0.13799179148936155,-2.93942850645161,11.887857024999994,0.14079612978723388,0.1301790234042553,1.4375,2.4791666666666665,4.34375,6.904463607446811,25.06836070430107,66.68445776904757,9.028708499999995,14.932645800000026
2018-06-11,4.192903341666666,11.754897539583332,9.516711682291666,1009.0413284270835,1.471762873958333,0.020232969791666663,0.04461188958333334,281.3946091364583,0.46690363124999995,-22.20549053541666,18.009584270833326,0.01428447916666667,0.014213638541666672,1.0,2.5520833333333335,2.0833333333333335,4.456783615624999,8.73443470625,43.294653480208304,10.505152699999917,12.67103580000002
2018-06-12,5.988223001041664,12.614105391666664,8.671153794318181,1010.3031502187505,17.219359327083325,16.952180773958336,19.00226516704545,272.35008685,2.024967667708333,6738.9761641697905,413.2023034784093,-0.000851757291666666,-0.0008823708333333333,1.0,3.78125,3.7916666666666665,5.127914293749999,10.468173408333334,87.51969194090908,8.869290399999986,21.997303000000045
2018-06-13,4.191587733749999,7.317962750000001,8.041304382500002,1017.5713139062501,1.5670950025,0.05511952874999998,1.7305512949999986,257.64198826499995,0.4112519224999998,-20.68298586374998,52.88420978874998,0.08003376624999996,0.07768501374999999,2.3854166666666665,3.4270833333333335,3.1354166666666665,4.237694116250001,9.995607139999999,21.239917548749972,2.4733185999999994,10.110150299999988
2018-06-14,2.1058048782051286,5.65460677051282,6.334440868918918,1024.2476495416663,0.41365710512820486,0.10351144999999992,23.24764687432433,230.164270901282,0.21366225512820508,9.674133371794879,-37.45570872054799,0.12136531282051277,0.12164127179487175,2.7916666666666665,3.53125,4.71875,5.979066310256408,17.049520660256402,55.719685975342465,2.625989400000003,9.797515900000006
2018-06-15,1.5707313362637365,4.6807490846153845,5.8202012952380935,1030.7250468124998,0.20535065934065924,0.14666079670329674,0.128662363095238,243.89606362967035,0.1411260252747253,14.646065639325828,27.69853022738094,0.32974960989010965,0.3105965098901097,2.1979166666666665,3.1770833333333335,3.8541666666666665,8.114186980219777,19.64813410898876,49.50496820238093,0.5920600000000015,10.424295400000004
2018-06-16,2.9314643666666664,4.066121268749998,9.909403243283581,1029.1288541458327,0.7998546614583333,0.06152390625,6.529482895522386,82.41944595104167,0.2913724885416666,2.95465672631579,28.83989111194028,0.35704186979166724,0.43800334062499985,1.5208333333333333,3.2395833333333335,4.375,5.571361076041668,10.747789115789475,59.83498828358206,-1.3854836999999984,10.111998599999994
2018-06-17,5.227995719791665,7.321201681250002,8.44268181875,1023.4450957604167,1.9706490302083326,0.06717433645833333,0.021702269791666663,66.49526241874996,0.5386718072916664,-12.383815230208333,29.32960071874999,0.007851031250000001,0.007468119791666662,1.0,2.9166666666666665,1.3645833333333333,3.8736011135416675,8.575350727083329,15.199886380208335,3.4663626999999955,12.25980000000002
2018-06-18,4.031577641666666,8.455387407291662,9.059364716666662,1021.035052041667,1.2092768062499997,0.07547557916666665,0.014869840624999997,69.66076552708334,0.419494953125,-8.759883418750007,20.290846230208334,0.017185540624999992,0.016596159374999992,1.0,2.3125,2.0416666666666665,4.302650944791667,9.235888315625001,26.082422892708312,3.7677054000000063,14.903748499999972
2018-06-19,3.470298232291667,9.419335633333331,9.343963049999997,1015.3044675833331,0.9568759010416666,0.06482406874999999,0.021570059375000002,66.86007424166664,0.3568146072916667,-7.36680106770833,16.222691466666664,0.04956290833333332,0.04791625208333331,1.0,1.6458333333333333,2.3125,4.492511626041664,10.000078047916661,31.34739503958333,5.402605100000005,16.02884100000004
2018-06-20,1.6796005562499998,8.737379830208331,11.633177058490562,1014.9270948229167,0.23021365729166654,0.125278609375,13.4564067245283,174.39912222395836,0.15914749270833323,14.957829482954548,38.81915453018867,0.22860877083333334,0.18402948645833364,1.8541666666666667,3.7395833333333335,5.75,7.443224592708333,13.770653120454542,37.434312328301864,3.6573157000000065,14.975282699999985
2018-06-21,4.742212751041666,7.976562578125002,7.546252620454544,1011.0560163125,2.108883679166666,0.0807051645833333,0.5230021206896548,216.7545595458333,0.5127552364583333,-26.664286212499974,70.5849451988636,0.026477402083333313,0.025294622916666672,1.0208333333333333,2.875,2.0416666666666665,4.1152742291666655,9.450404097916664,14.319186695454544,2.360791400000003,12.38093089999999
2018-06-22,4.095327272916667,6.804675338541663,7.767978164583333,1011.0398000312499,1.4185746041666665,0.07793023645833334,0.014806757291666665,56.89356465624999,0.4308313885416666,-12.158319931578935,33.945320766315774,0.02856177812499999,0.027524418750000012,1.0,2.1875,1.8541666666666667,4.107518927083333,11.243637880000001,22.31455802315788,-0.03620670000000004,14.367786400000028
2018-06-23,4.4657673739583315,5.3510142374999985,7.695737975824175,1012.0317708020829,1.9021623322916665,0.09001478437499999,10.277575075824174,167.44738485520833,0.4681275708333332,-5.118094862500002,-28.236862576923084,0.03250926979166667,0.03256951145833334,1.0208333333333333,2.8229166666666665,3.4270833333333335,4.136221477083331,19.961008142708327,48.339069498901075,1.9280474999999984,10.677199399999978
2018-06-24,3.492122091666664,2.9334177020833336,5.897930580898875,1019.1791547395834,0.9140504562499995,0.12285760208333336,0.037500404494382,44.025453273958334,0.36747183541666656,-8.551172923157898,40.02186689775279,0.031053962499999994,0.028685787499999893,1.0625,2.1145833333333335,2.28125,4.840700683333335,11.611397397894732,22.168322551685385,-1.6535807000000007,9.013626100000009
2018-06-25,3.4973406979166666,3.0001046666666658,6.3021223395833355,1011.7468459166662,1.0848973833333335,0.2929761864583333,0.017395342708333334,56.854813813541654,0.36807169375,29.984664860416675,23.69599180947369,0.10460869062500001,0.09975532604166666,1.0729166666666667,2.2708333333333335,2.1458333333333335,4.615248962500001,10.113537384375002,25.28223895999999,-2.060995600000003,11.510547600000004
2018-06-26,2.635993649999999,7.509634475000002,8.016757104166665,1008.6595294479171,0.6959555177083333,0.053758326041666644,0.04207051874999999,83.255485725,0.27176504791666656,-2.1655254552083334,23.65974948541668,0.3534870666666667,0.31648539479166665,1.5729166666666667,2.4791666666666665,2.7083333333333335,6.525327506249997,26.217790849999997,32.882436379166656,0.8046642999999992,15.509357500000014
2018-06-27,2.951251453125,10.09668779791666,9.221212348958325,1008.5749131145834,0.8203206208333328,0.05673050937499999,0.11186175416666656,73.02853269166665,0.2990668041666666,-1.6940179197916658,18.945044808421052,6.0460034020833335,2.2601191156250016,1.4479166666666667,2.1979166666666665,3.65625,5.683820089583334,15.384437703124997,66.45975505473682,5.413762099999989,16.115356400000035
2018-06-28,1.3655670720930226,8.128424541860465,6.397133964367814,1015.4206104895835,0.12847922325581396,0.11429904302325578,0.09328088604651158,90.27111610581387,0.11549210465116286,5.552144972093022,19.711005941176467,0.3643009162790696,0.3273303453488371,2.6041666666666665,3.3541666666666665,3.84375,7.6295186174418586,19.44629399302325,33.910382157647035,1.7137381000000003,15.320584300000005
2018-06-29,,,,1013.25,,,,,,,,,,9.0,9.0,9.0,,,,,
2018-06-30,,,,1013.25,,,,,,,,,,9.0,9.0,9.0,,,,,
2018-07-01,1.9165817854545453,9.37993955818181,5.571462895652173,1011.7622161249999,0.34525489636363643,0.02394601272727272,0.16506437272727273,146.29449369818178,0.1987127527272727,9.69596177272727,-0.30815992790697444,-0.13694938545454544,-0.13222027090909091,3.6375,4.1875,6.5875,6.280333749090908,14.42885251818182,137.66788270232556,7.625381500000001,11.346211400000008
